Sl No,NO OF ACCIDENT REPORTED ON THIS CORRIDOR UNDER JURISDICTION,FIR NO,Latitude,Longitude,Distance,NO. OF VEHICLE,Date,DAY OF THE WEEK,Month of the year,Year of Accident,Time,D/N,PATTERN OF COLLISION,TYPE OF COLLISION,TYPE OF VEHICLE-1,TYPE OF VEHICLE-2,FATAL,GRIEVOUS,MINOR,SEVERITY,GEOMETRY,PRESENCE OF MEDIAN,PRESENCE OF SHOULDER,PRESENCE OF FOOTPATH,SIDE ROAD,JN/NOT,day_night_label,year,month_num,day,day_of_week,week_of_year,hour,minute,time_bucket,PATTERN_OF_COLLISION_CODE,PATTERN_OF_COLLISION_LABEL,PATTERN_OF_COLLISION_UNKNOWN,TYPE_OF_COLLISION_CODE,TYPE_OF_COLLISION_LABEL,TYPE_OF_COLLISION_UNKNOWN,TYPE_OF_VEHICLE_1_CODE,TYPE_OF_VEHICLE_1_LABEL,TYPE_OF_VEHICLE_1_UNKNOWN,TYPE_OF_VEHICLE_2_CODE,TYPE_OF_VEHICLE_2_LABEL,TYPE_OF_VEHICLE_2_UNKNOWN,is_weekend,is_night,severity_target
177.0,Venjarammood,2183/2021,8.664059,76.91119,12.8,2.0,2021-06-10,Thursday,June,2021,18.45,N,2.0,2,1.0,1.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Night,2021.0,6,10,Thursday,23,18.0,45.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
178.0,Venjarammood,2162/2021,8.708694,76.903659,17.9,2.0,2021-08-14,Saturday,August,2021,10.3,D,2.0,5,4.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,3.0,no,Day,2021.0,8,14,Saturday,32,10.0,30.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,4,Bus,False,1,Motorised Two-Wheeler,False,1,0,Grievous
179.0,Venjarammood,2305/2021,8.71531,76.901572,18.8,2.0,2021-10-13,Wednesday,October,2021,9.2,D,2.0,2,1.0,1.0,0.0,1.0,0.0,G,curve,no,no,no,1.0,no,Day,2021.0,10,13,Wednesday,41,9.0,20.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
180.0,Venjarammood,2306/2021,8.671401,76.911349,13.6,2.0,2021-10-17,Sunday,October,2021,7.0,D,2.0,3,3.0,2.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Day,2021.0,10,17,Sunday,41,7.0,0.0,6-12,2,Vehicle to Vehicle,False,3,Run Off Road,False,3,Car/Jeep/Taxi,False,2,Passenger Auto,False,1,0,Grievous
181.0,Venjarammood,2355/2021,8.688008,76.906394,15.6,2.0,2021-10-27,Wednesday,October,2021,4.3,N,2.0,1,8.0,3.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Night,2021.0,10,27,Wednesday,43,4.0,30.0,0-6,2,Vehicle to Vehicle,False,1,Hit from Back,False,8,Truck/Lorry,False,3,Car/Jeep/Taxi,False,0,1,Grievous
182.0,Venjarammood,2369/2021,8.712328,76.903558,18.3,1.0,2021-11-11,Thursday,November,2021,8.3,D,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,yes,Day,2021.0,11,11,Thursday,45,8.0,30.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,0,Grievous
183.0,Venjarammood,2357/2021,8.675777,76.910331,14.2,2.0,2021-09-30,Thursday,September,2021,17.0,D,2.0,5,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,no,Day,2021.0,9,30,Thursday,39,17.0,0.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
184.0,Venjarammood,2382/2021,8.694957,76.906049,16.4,1.0,2021-11-19,Friday,November,2021,8.0,D,3.0,8,1.0,11.0,1.0,0.0,0.0,F,curve,no,yes,no,1.0,no,Day,2021.0,11,19,Friday,46,8.0,0.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Fatal
185.0,Venjarammood,2349/2021,8.664059,76.91119,12.8,1.0,2021-02-09,Tuesday,February,2021,6.3,D,1.0,11,2.0,14.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Day,2021.0,2,9,Tuesday,6,6.0,30.0,6-12,1,Single Vehicle,False,11,Others (Specify),False,2,Passenger Auto,False,14,Others (Specify),False,0,0,Grievous
186.0,Venjarammood,2350/2021,8.639863,76.900281,9.6,2.0,2021-10-12,Tuesday,October,2021,21.3,N,2.0,1,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Night,2021.0,10,12,Tuesday,41,21.0,30.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
187.0,Venjarammood,2387/2021,8.665278,76.911411,13.0,1.0,2021-09-23,Thursday,September,2021,18.3,N,3.0,8,5.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,2.0,no,Night,2021.0,9,23,Thursday,38,18.0,30.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,5,Mini Bus/Passenger Tempo/Passenger Van,False,11,Pedestrian,False,0,1,Grievous
188.0,Venjarammood,2381/2021,8.654092,76.909421,11.7,1.0,2021-10-27,Wednesday,October,2021,9.3,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Day,2021.0,10,27,Wednesday,43,9.0,30.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
189.0,Venjarammood,2391/2021,8.671215,76.911356,13.6,2.0,2021-11-22,Monday,November,2021,19.0,N,2.0,1,1.0,1.0,1.0,0.0,0.0,F,straight,no,yes,no,2.0,no,Night,2021.0,11,22,Monday,47,19.0,0.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Fatal
190.0,Venjarammood,2392/2021,8.678201,76.909496,14.4,2.0,2021-06-18,Friday,June,2021,12.0,D,2.0,1,3.0,1.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Day,2021.0,6,18,Friday,24,12.0,0.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
191.0,Venjarammood,2471/2021,8.664059,76.91119,12.8,1.0,2021-11-03,Wednesday,November,2021,9.15,D,1.0,4,1.0,0.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Day,2021.0,11,3,Wednesday,44,9.0,15.0,6-12,1,Single Vehicle,False,4,Vehicle Overturn/Skidding,False,1,Motorised Two-Wheeler,False,0,Unknown/Out-of-master,True,0,0,Grievous
192.0,Venjarammood,2462/2021,8.726829,76.898313,20.2,2.0,2021-12-04,Saturday,December,2021,19.3,N,2.0,2,3.0,1.0,0.0,1.0,1.0,G,straight,no,yes,no,0.0,no,Night,2021.0,12,4,Saturday,48,19.0,30.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,1,Grievous
193.0,Venjarammood,2457 2021,8.702133,76.904887,17.2,2.0,2021-12-04,Saturday,December,2021,18.15,N,2.0,2,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,no,Night,2021.0,12,4,Saturday,48,18.0,15.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,1,Grievous
194.0,Venjarammood,2476 2021,8.727114,76.898313,20.2,2.0,2021-11-19,Friday,November,2021,19.0,N,2.0,1,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Night,2021.0,11,19,Friday,46,19.0,0.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
195.0,Venjarammood,2401/2021,8.677608,76.909812,14.4,2.0,2021-12-03,Friday,December,2021,15.1,D,2.0,5,4.0,1.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Day,2021.0,12,3,Friday,48,15.0,10.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,4,Bus,False,1,Motorised Two-Wheeler,False,0,0,Grievous
196.0,Venjarammood,2468/2021,8.706984,76.903853,17.8,2.0,2021-12-04,Saturday,December,2021,22.0,N,2.0,5,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Night,2021.0,12,4,Saturday,48,22.0,0.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,1,1,Grievous
197.0,Venjarammood,10/2022,8.694957,76.906049,16.4,2.0,2021-12-14,Tuesday,December,2021,7.0,D,2.0,5,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Day,2021.0,12,14,Tuesday,50,7.0,0.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
198.0,Venjarammood,49/2022,8.664059,76.91119,12.8,2.0,2022-01-07,Friday,January,2022,19.3,N,2.0,2,1.0,1.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Night,2022.0,1,7,Friday,1,19.0,30.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
199.0,Venjarammood,174/2022,8.68621,76.906864,15.4,2.0,2022-01-28,Friday,January,2022,13.3,D,2.0,5,2.0,1.0,0.0,3.0,0.0,G,curve,no,yes,no,2.0,no,Day,2022.0,1,28,Friday,4,13.0,30.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,2,Passenger Auto,False,1,Motorised Two-Wheeler,False,0,0,Grievous
200.0,Venjarammood,175/2022,8.655749,76.909483,11.8,2.0,2022-02-05,Saturday,February,2022,16.1,D,2.0,1,2.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Day,2022.0,2,5,Saturday,5,16.0,10.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,2,Passenger Auto,False,1,Motorised Two-Wheeler,False,1,0,Grievous
201.0,Venjarammood,193/2022 ,8.673797,76.911262,13.9,2.0,2021-11-24,Wednesday,November,2021,20.15,N,2.0,1,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Night,2021.0,11,24,Wednesday,47,20.0,15.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
202.0,Venjarammood,263/2021,8.715247,76.901629,18.7,2.0,2021-02-07,Sunday,February,2021,17.3,D,2.0,1,1.0,1.0,0.0,2.0,1.0,G,curve,no,no,no,0.0,no,Day,2021.0,2,7,Sunday,5,17.0,30.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,1,0,Grievous
203.0,Venjarammood,289/2021,8.65407,76.909416,11.7,2.0,2021-02-09,Tuesday,February,2021,15.3,D,2.0,1,3.0,1.0,0.0,0.0,1.0,M,curve,no,yes,no,1.0,no,Day,2021.0,2,9,Tuesday,6,15.0,30.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Minor
204.0,Venjarammood,270/2021,8.690504,76.90574,15.9,2.0,2021-02-09,Tuesday,February,2021,8.15,D,2.0,1,2.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,2,9,Tuesday,6,8.0,15.0,6-12,2,Vehicle to Vehicle,False,1,Hit from Back,False,2,Passenger Auto,False,1,Motorised Two-Wheeler,False,0,0,Grievous
205.0,Venjarammood,277/2021,8.720943,76.898618,19.5,2.0,2021-01-28,Thursday,January,2021,11.3,D,2.0,5,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,1,28,Thursday,4,11.0,30.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
206.0,Venjarammood,745/2022,8.683198,76.908351,15.0,2.0,2022-06-12,Sunday,June,2022,21.0,N,2.0,5,1.0,3.0,1.0,0.0,0.0,F,straight,no,yes,yes,1.0,no,Night,2022.0,6,12,Sunday,23,21.0,0.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,3,Car/Jeep/Taxi,False,1,1,Fatal
207.0,Venjarammood,495/2022,8.724318,76.897996,19.9,2.0,2022-03-29,Tuesday,March,2022,7.45,D,2.0,1,1.0,1.0,0.0,1.0,1.0,G,curve,no,yes,no,1.0,no,Day,2022.0,3,29,Tuesday,13,7.0,45.0,6-12,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
208.0,Venjarammood,501/2022,8.678201,76.909496,14.4,2.0,2022-01-05,Wednesday,January,2022,13.3,D,2.0,2,1.0,1.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Day,2022.0,1,5,Wednesday,1,13.0,30.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
209.0,Venjarammood,0538/2022,8.66649,76.911572,13.1,2.0,2022-04-30,Saturday,April,2022,19.0,N,2.0,5,2.0,1.0,0.0,1.0,1.0,G,straight,no,yes,no,1.0,no,Night,2022.0,4,30,Saturday,17,19.0,0.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,2,Passenger Auto,False,1,Motorised Two-Wheeler,False,1,1,Grievous
210.0,Venjarammood,0551/2022,8.707087,76.90382,17.8,1.0,2022-04-26,Tuesday,April,2022,17.3,D,1.0,8,3.0,14.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Day,2022.0,4,26,Tuesday,17,17.0,30.0,12-18,1,Single Vehicle,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,14,Others (Specify),False,0,0,Grievous
211.0,Venjarammood,0562/2022,8.679561,76.909063,14.6,2.0,2022-05-15,Sunday,May,2022,17.3,D,2.0,1,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,no,Day,2022.0,5,15,Sunday,19,17.0,30.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Grievous
212.0,Venjarammood,0570/2022,8.715276,76.90159,18.7,2.0,2022-05-04,Wednesday,May,2022,14.0,D,2.0,5,3.0,3.0,0.0,0.0,1.0,M,curve,no,no,no,0.0,no,Day,2022.0,5,4,Wednesday,18,14.0,0.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,3,Car/Jeep/Taxi,False,0,0,Minor
213.0,Venjarammood,0590/2022,8.712156,76.903561,18.3,2.0,2022-05-08,Sunday,May,2022,16.0,D,2.0,5,3.0,1.0,0.0,1.0,1.0,G,straight,no,yes,no,1.0,yes,Day,2022.0,5,8,Sunday,18,16.0,0.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Grievous
214.0,Venjarammood,0599/2022,8.724207,76.898037,19.9,1.0,2022-05-09,Monday,May,2022,3.3,N,1.0,3,3.0,14.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Night,2022.0,5,9,Monday,19,3.0,30.0,0-6,1,Single Vehicle,False,3,Run Off Road,False,3,Car/Jeep/Taxi,False,14,Others (Specify),False,0,1,Grievous
215.0,Venjarammood,671/2022,8.683198,76.908351,15.0,1.0,2022-05-30,Monday,May,2022,15.1,D,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,1.0,no,Day,2022.0,5,30,Monday,22,15.0,10.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,0,Grievous
216.0,Venjarammood,673/2022,8.726746,76.898226,20.2,2.0,2022-05-04,Wednesday,May,2022,15.3,D,2.0,2,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Day,2022.0,5,4,Wednesday,18,15.0,30.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
217.0,Venjarammood,682/2022,8.678141,76.909503,14.4,1.0,2022-04-02,Saturday,April,2022,19.3,N,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Night,2022.0,4,2,Saturday,13,19.0,30.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,1,1,Grievous
218.0,Venjarammood,703/2022,8.652116,76.907642,11.4,2.0,2022-04-26,Tuesday,April,2022,12.3,D,2.0,1,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2022.0,4,26,Tuesday,17,12.0,30.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
219.0,Venjarammood,722/2022,8.69342,76.90583,16.2,1.0,2022-06-01,Wednesday,June,2022,18.0,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2022.0,6,1,Wednesday,22,18.0,0.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
220.0,Venjarammood,732/2022,8.639945,76.900276,9.6,2.0,2022-06-01,Wednesday,June,2022,14.2,D,2.0,1,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Day,2022.0,6,1,Wednesday,22,14.0,20.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
221.0,Venjarammood,755/2022,8.688004,76.90639,15.6,1.0,2022-05-21,Saturday,May,2022,20.0,N,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Night,2022.0,5,21,Saturday,20,20.0,0.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,1,1,Grievous
222.0,Venjarammood,773/2022,8.693157,76.905746,16.2,2.0,2022-06-18,Saturday,June,2022,19.15,N,2.0,5,4.0,3.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Night,2022.0,6,18,Saturday,24,19.0,15.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,4,Bus,False,3,Car/Jeep/Taxi,False,1,1,Grievous
223.0,Venjarammood,790/2022,8.721027,76.898599,19.5,2.0,2022-06-10,Friday,June,2022,20.3,N,2.0,5,5.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Night,2022.0,6,10,Friday,23,20.0,30.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,5,Mini Bus/Passenger Tempo/Passenger Van,False,1,Motorised Two-Wheeler,False,0,1,Grievous
224.0,Venjarammood,0819/2022,8.641571,76.900549,9.8,1.0,2022-06-29,Wednesday,June,2022,6.3,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Day,2022.0,6,29,Wednesday,26,6.0,30.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
225.0,Venjarammood,0836/2022,8.665299,76.911449,13.0,2.0,2022-05-28,Saturday,May,2022,14.0,D,2.0,1,4.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,2.0,no,Day,2022.0,5,28,Saturday,21,14.0,0.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,4,Bus,False,1,Motorised Two-Wheeler,False,1,0,Grievous
226.0,Venjarammood,0839/2022,8.65407,76.909416,11.6,2.0,2022-07-06,Wednesday,July,2022,19.0,N,2.0,1,6.0,1.0,0.0,1.0,1.0,G,straight,no,yes,no,1.0,no,Night,2022.0,7,6,Wednesday,27,19.0,0.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,6,Goods Auto/Goods Pick-up Van,False,1,Motorised Two-Wheeler,False,0,1,Grievous
227.0,Venjarammood,0862/2022,8.712216,76.903562,18.3,2.0,2022-06-24,Friday,June,2022,11.3,D,2.0,2,1.0,1.0,1.0,1.0,1.0,F,straight,no,yes,no,1.0,yes,Day,2022.0,6,24,Friday,25,11.0,30.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Fatal
228.0,Venjarammood,0904/2022,8.643753,76.901306,10.1,2.0,2022-06-26,Sunday,June,2022,10.3,D,2.0,5,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Day,2022.0,6,26,Sunday,25,10.0,30.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,1,0,Grievous
229.0,Venjarammood,0913/2022,8.673543,76.911338,13.9,1.0,2022-07-20,Wednesday,July,2022,16.0,D,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Day,2022.0,7,20,Wednesday,29,16.0,0.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,0,Grievous
230.0,Venjarammood,0914/2022,8.715303,76.901597,18.8,2.0,2022-07-21,Thursday,July,2022,19.0,N,2.0,1,1.0,1.0,0.0,1.0,0.0,G,curve,no,no,no,1.0,no,Night,2022.0,7,21,Thursday,29,19.0,0.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
231.0,Venjarammood,315/2023,8.68807,76.906427,15.6,2.0,2022-12-23,Friday,December,2022,6.45,D,2.0,2,5.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Day,2022.0,12,23,Friday,51,6.0,45.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,5,Mini Bus/Passenger Tempo/Passenger Van,False,1,Motorised Two-Wheeler,False,0,0,Grievous
232.0,Venjarammood,316/2023,8.663653,76.911388,12.8,2.0,2023-02-10,Friday,February,2023,12.4,D,2.0,1,8.0,2.0,0.0,2.0,4.0,G,straight,yes,yes,yes,0.0,yes,Day,2023.0,2,10,Friday,6,12.0,40.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,8,Truck/Lorry,False,2,Passenger Auto,False,0,0,Grievous
233.0,Venjarammood,342/2023,8.666058,76.911571,13.0,2.0,2023-01-29,Sunday,January,2023,17.3,D,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,2.0,no,Day,2023.0,1,29,Sunday,4,17.0,30.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Grievous
234.0,Venjarammood,343/2023,8.676239,76.910106,14.2,1.0,2022-12-31,Saturday,December,2022,21.0,N,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,no,Night,2022.0,12,31,Saturday,52,21.0,0.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,1,1,Grievous
235.0,Venjarammood,385/2023,8.720513,76.898586,19.5,1.0,2023-02-10,Friday,February,2023,7.0,D,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2023.0,2,10,Friday,6,7.0,0.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,0,Grievous
236.0,Venjarammood,388/2023,8.680866,76.909074,14.7,2.0,2023-02-21,Tuesday,February,2023,8.0,D,2.0,1,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,1.0,no,Day,2023.0,2,21,Tuesday,8,8.0,0.0,6-12,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
237.0,Venjarammood,450/2023,8.690336,76.905859,15.9,2.0,2023-03-27,Monday,March,2023,5.15,N,3.0,8,3.0,11.0,1.0,0.0,0.0,F,straight,no,yes,no,1.0,no,Night,2023.0,3,27,Monday,13,5.0,15.0,0-6,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,1,Fatal
238.0,Venjarammood,483/2023,8.680984,76.909022,14.8,1.0,2023-01-21,Saturday,January,2023,14.0,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,2.0,no,Day,2023.0,1,21,Saturday,3,14.0,0.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,1,0,Grievous
239.0,Venjarammood,486/2023,8.663534,76.911224,12.8,2.0,2022-12-27,Tuesday,December,2022,21.0,N,2.0,5,3.0,1.0,0.0,1.0,0.0,G,straight,yes,yes,yes,0.0,yes,Night,2022.0,12,27,Tuesday,52,21.0,0.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
240.0,Venjarammood,508/2023,8.70351561182602,76.9047870537604,17.4,1.0,2023-03-05,Sunday,March,2023,9.15,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2023.0,3,5,Sunday,9,9.0,15.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,1,0,Grievous
241.0,Venjarammood,530/2023,8.65404,76.909465,11.6,1.0,2023-04-07,Friday,April,2023,10.3,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2023.0,4,7,Friday,14,10.0,30.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
242.0,Venjarammood,908/2023,8.672195,76.911532,13.7,2.0,2023-05-25,Thursday,May,2023,10.2,D,2.0,5,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2023.0,5,25,Thursday,21,10.0,20.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
